Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenue,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,CompanyType
1,Walmart,WMT,Retailing,General Merchandisers,yes,no,no,no,0,yes,yes,yes,2100000,484852.8,"$648,125,000 ",6%,15511,32.8,252399,C. Douglas McMillon,U.S.,Bentonville,Arkansas,Public
2,Amazon,AMZN,Retailing,Internet Services and Retailing,yes,no,no,no,0,yes,yes,no,1525000,1873675.8,"$574,785,000 ",12%,30425,,527854,Andrew R. Jassy,U.S.,Seattle,Washington,Public
3,Apple,AAPL,Technology,"Computers, Office Equipment",yes,no,no,no,1,yes,yes,no,161000,2647973.8,"$383,285,000 ",-3%,96995,-2.8,352583,Timothy D. Cook,U.S.,Cupertino,California,Public
4,UnitedHealth Group,UNH,Health Care,Health Care: Insurance and Managed Care,yes,no,no,yes,1,yes,yes,no,440000,456080.8,"$371,622,000 ",15%,22381,11.2,273720,Andrew P. Witty,U.S.,Minnetonka,Minnesota,Public
5,Berkshire Hathaway,BRKA,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,2,yes,yes,no,396500,908919.7,"$364,482,000 ",21%,96223,,1069978,Warren E. Buffett,U.S.,Omaha,Nebraska,Public
6,CVS Health,CVS,Health Care,Health Care: Pharmacy and Other Services,yes,no,yes,no,0,yes,yes,no,259500,100373.9,"$357,776,000 ",11%,8344,101.1,249728,Karen S. Lynch,U.S.,Woonsocket,Rhode Island,Public
7,Exxon Mobil,XOM,Energy,Petroleum Refining,yes,no,no,no,-4,yes,no,no,61500,461222.2,"$344,582,000 ",-17%,36010,-35.4,376317,Darren W. Woods,U.S.,Spring,Texas,Public
8,Alphabet,GOOGL,Technology,Internet Services and Retailing,yes,no,no,no,0,yes,yes,no,182502,1884633,"$307,394,000 ",9%,73795,23,402392,Sundar Pichai,U.S.,Mountain View,California,Public
9,McKesson,MCK,Health Care,Wholesalers: Health Care,yes,no,no,no,0,yes,no,no,48000,70546.5,"$276,711,000 ",5%,3560,219.6,62320,Brian S. Tyler,U.S.,Irving,Texas,Public
10,Cencora,COR,Health Care,Wholesalers: Health Care,yes,no,no,yes,1,yes,no,no,44000,48472.1,"$262,173,000 ",10%,1745.3,2.7,62558.7,Steven H. Collis,U.S.,Conshohocken,Pennsylvania,Public
11,Costco Wholesale,COST,Retailing,General Merchandisers,yes,no,no,yes,1,yes,yes,no,316000,324924.4,"$242,290,000 ",7%,6292,7.7,68994,Ron M. Vachris,U.S.,Issaquah,Washington,Public
12,JPMorgan Chase,JPM,Financials,Commercial Banks,yes,no,no,yes,11,yes,yes,no,309926,576938.4,"$239,425,000 ",55%,49552,31.5,3875393,James Dimon,U.S.,New York,New York,Public
13,Microsoft,MSFT,Technology,Computer Software,yes,no,no,no,0,yes,yes,no,221000,3126133.1,"$211,915,000 ",7%,72361,-0.5,411976,Satya Nadella,U.S.,Redmond,Washington,Public
14,Cardinal Health,CAH,Health Care,Wholesalers: Health Care,yes,no,no,yes,0,yes,no,no,47520,27217.8,"$205,012,000 ",13%,261,,43417,Jason M. Hollar,U.S.,Dublin,Ohio,Public
15,Chevron,CVX,Energy,Petroleum Refining,yes,no,no,yes,-5,yes,no,no,45600,292965.6,"$200,949,000 ",-18%,21369,-39.7,261632,Michael K. Wirth,U.S.,San Ramon,California,Public
16,Cigna,CI,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,yes,-1,yes,no,no,71413,103017.9,"$195,265,000 ",8%,5164,-22.6,152761,David M. Cordani,U.S.,Bloomfield,Connecticut,Public
17,Ford Motor,F,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,2,yes,no,no,177000,53017.8,"$176,191,000 ",12%,4347,,273310,James D. Farley Jr.,U.S.,Dearborn,Michigan,Public
18,Bank of America,BAC,Financials,Commercial Banks,yes,no,no,no,14,yes,yes,yes,212985,299213,"$171,912,000 ",49%,26515,-3.7,3180151,Brian T. Moynihan,U.S.,Charlotte,North Carolina,Public
19,General Motors,GM,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,yes,no,2,yes,no,no,163000,52353.5,"$171,842,000 ",10%,10127,1.9,273064,Mary T. Barra,U.S.,Detroit,Michigan,Public
20,Elevance Health,ELV,Health Care,Health Care: Insurance and Managed Care,yes,no,yes,yes,2,yes,yes,yes,104900,120619.6,"$171,340,000 ",9%,5987,-0.6,108928,Gail K. Boudreaux,U.S.,Indianapolis,Indiana,Public
21,Citigroup,C,Financials,Commercial Banks,yes,no,yes,no,15,yes,no,no,237925,121122.2,"$156,820,000 ",55%,9228,-37.8,2411834,Jane Fraser,U.S.,New York,New York,Public
22,Centene,CNC,Health Care,Health Care: Insurance and Managed Care,yes,no,yes,no,3,yes,yes,no,67700,41979.4,"$153,999,000 ",7%,2702,124.8,84641,Sarah M. London,U.S.,St. Louis,Missouri,Public
23,Home Depot,HD,Retailing,Specialty Retailers: Other,yes,no,no,no,-3,yes,yes,no,463100,380153.7,"$152,669,000 ",-3%,15143,-11.5,76530,Edward P. Decker,U.S.,Atlanta,Georgia,Public
24,Marathon Petroleum,MPC,Energy,Petroleum Refining,yes,no,no,yes,-8,yes,no,no,18200,72607.7,"$150,307,000 ",-17%,9681,-33.3,85987,Maryann T. Mannen,U.S.,Findlay,Ohio,Public
25,Kroger,KR,Food & Drug Stores,Food & Drug Stores,yes,no,no,no,-1,yes,no,no,414000,41100.7,"$150,039,000 ",1%,2164,-3.6,50505,W. Rodney McMullen,U.S.,Cincinnati,Ohio,Public
26,Phillips 66,PSX,Energy,Petroleum Refining,yes,no,no,yes,-9,yes,no,no,14000,69880.8,"$149,890,000 ",-15%,7015,-36.4,75501,Mark E. Lashier,U.S.,Houston,Texas,Public
27,Fannie Mae,FNMA,Financials,Diversified Financials,yes,no,yes,yes,1,yes,no,no,8100,1818.2,"$141,240,000 ",16%,17408,34.7,4325437,Priscilla Almodovar,U.S.,Washington,District Of Columbia,Public
28,Walgreens Boots Alliance,WBA,Food & Drug Stores,Food & Drug Stores,no,no,no,yes,-1,yes,no,no,268500,18712.3,"$139,081,000 ",5%,-3080,-171,96628,Timothy Wentworth,U.S.,Deerfield,Illinois,Public
29,Valero Energy,VLO,Energy,Petroleum Refining,yes,no,no,yes,-11,yes,no,no,9897,56234.5,"$139,001,000 ",-19%,8835,-23.4,63056,R. Lane Riggs,U.S.,San Antonio,Texas,Public
30,Meta Platforms,META,Technology,Internet Services and Retailing,yes,yes,no,no,1,yes,yes,no,67317,1237940.1,"$134,902,000 ",16%,39098,68.5,229623,Mark Zuckerberg,U.S.,Menlo Park,California,Public
31,Verizon Communications,VZ,Telecommunications,Telecommunications,yes,no,no,no,-5,yes,yes,no,105400,176651.6,"$133,974,000 ",-2%,11614,-45.4,380255,Hans E. Vestberg,U.S.,New York,New York,Public
32,AT&T,T,Telecommunications,Telecommunications,yes,no,no,no,-2,yes,yes,no,150470,125889.1,"$122,428,000 ",1%,14400,,407060,John T. Stankey,U.S.,Dallas,Texas,Public
33,Comcast,CMCSA,Telecommunications,Telecommunications,yes,no,no,no,-4,yes,yes,yes,186000,172180,"$121,572,000 ",0%,15388,186.6,264811,Brian L. Roberts,U.S.,Philadelphia,Pennsylvania,Public
34,Wells Fargo,WFC,Financials,Commercial Banks,yes,no,no,no,13,yes,no,no,226000,205201.8,"$115,340,000 ",39%,19142,45.2,1932468,Charles W. Scharf,U.S.,San Francisco,California,Public
35,Goldman Sachs Group,GS,Financials,Commercial Banks,yes,no,no,no,20,yes,yes,no,45300,135551.7,"$108,418,000 ",58%,8516,-24.4,1641594,David M. Solomon,U.S.,New York,New York,Public
36,Freddie Mac,FMCC,Financials,Diversified Financials,yes,no,no,yes,9,yes,no,no,8020,877.6,"$108,050,000 ",25%,10538,13,3280976,Michael T. Hutchins,U.S.,McLean,Virginia,Public
37,Target,TGT,Retailing,General Merchandisers,yes,no,no,no,-4,yes,yes,yes,415000,81816.1,"$107,412,000 ",-2%,4138,48.8,55356,Brian C. Cornell,U.S.,Minneapolis,Minnesota,Public
38,Humana,HUM,Health Care,Health Care: Insurance and Managed Care,yes,no,no,yes,4,yes,yes,no,67600,41796.7,"$106,374,000 ",15%,2489,-11.3,47065,James A. Rechtin,U.S.,Louisville,Kentucky,Public
39,State Farm Insurance,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,yes,5,yes,no,no,65054,,"$104,198,000 ",17%,-6272.3,,339484.7,Michael L. Tipsord,U.S.,Bloomington,Illinois,Private
40,Tesla,TSLA,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,yes,no,yes,10,yes,no,no,140473,559854.3,"$96,773,000 ",19%,14997,19.4,106618,Elon Musk,U.S.,Austin,Texas,Public
41,Morgan Stanley,MS,Financials,Commercial Banks,yes,no,no,no,20,yes,yes,no,80006,153976.9,"$96,194,000 ",46%,9087,-17.6,1193693,Edward N. Pick,U.S.,New York,New York,Public
42,Johnson & Johnson,JNJ,Health Care,Pharmaceuticals,yes,no,no,no,-2,yes,yes,no,131900,381203.6,"$95,195,000 ",0%,35153,95.9,167558,Joaquin Duato,U.S.,New Brunswick,New Jersey,Public
43,Archer Daniels Midland,ADM,"Food, Beverages & Tobacco",Food Production,yes,no,no,no,-8,yes,yes,no,41008,32023.6,"$93,935,000 ",-8%,3483,-19.7,54631,Juan R. Luciano,U.S.,Chicago,Illinois,Public
44,PepsiCo,PEP,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,yes,2,yes,yes,no,318000,240552.8,"$91,471,000 ",6%,9074,1.8,100495,Ramon L. Laguarta,U.S.,Purchase,New York,Public
45,United Parcel Service,UPS,Transportation,"Mail, Package, and Freight Delivery",yes,no,yes,no,-8,yes,yes,no,382550,126828.9,"$90,958,000 ",-9%,6708,-41.9,70857,Carol B. Tom?,U.S.,Atlanta,Georgia,Public
46,FedEx,FDX,Transportation,"Mail, Package, and Freight Delivery",yes,no,no,no,-5,yes,yes,no,446400,71299.4,"$90,155,000 ",-4%,3972,3.8,87143,Rajesh Subramaniam,U.S.,Memphis,Tennessee,Public
47,Walt Disney,DIS,Media,Entertainment,yes,no,no,yes,1,yes,yes,no,199125,224445.2,"$88,898,000 ",8%,2354,-25.2,205579,Robert A. Iger,U.S.,Burbank,California,Public
48,Dell Technologies,DELL,Technology,"Computers, Office Equipment",yes,yes,no,no,-14,yes,yes,no,120000,81450.6,"$88,425,000 ",-14%,3211,31.5,82089,Michael S. Dell,U.S.,Round Rock,Texas,Public
49,Lowe's,LOW,Retailing,Specialty Retailers: Other,yes,no,no,no,-10,yes,yes,no,226000,145752.5,"$86,377,000 ",-11%,7726,20,41795,Marvin R. Ellison,U.S.,Mooresville,North Carolina,Public
50,Procter & Gamble,PG,Household Products,Household and Personal Products,yes,no,no,yes,1,yes,yes,no,107000,381777.7,"$82,006,000 ",2%,14653,-0.6,120829,Jon R. Moeller,U.S.,Cincinnati,Ohio,Public
51,Energy Transfer,ET,Energy,Pipelines,yes,no,no,yes,-8,yes,no,no,13786,52974.8,"$78,586,000 ",-13%,3935,-17.3,113698,Thomas E. Long/Marshall S. McCrea III,U.S.,Dallas,Texas,Public
52,Boeing,BA,Aerospace & Defense,Aerospace & Defense,no,no,no,yes,6,yes,yes,no,171000,117750,"$77,794,000 ",17%,-2222,,137012,Kelly K. Ortberg,U.S.,Arlington,Virginia,Public
53,Albertsons,ACI,Food & Drug Stores,Food & Drug Stores,yes,no,no,yes,0,yes,no,no,198650,12350.3,"$77,649,001 ",8%,1513.5,-6.6,26168.2,Vivek Sankaran,U.S.,Boise,Idaho,Public
54,Sysco,SYY,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,yes,2,yes,no,no,71750,40413.8,"$76,324,001 ",11%,1770.1,30.3,22821.1,Kevin P. Hourican,U.S.,Houston,Texas,Public
55,RTX,RTX,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,2,yes,yes,no,185000,129680.3,"$68,920,000 ",3%,3195,-38.5,161869,Christopher T. Calio,U.S.,Arlington,Virginia,Public
56,General Electric,GE,Industrials,Industrial Machinery,yes,no,no,no,-4,yes,no,no,125000,191901.2,"$67,954,000 ",-11%,9481,4113.8,163045,H. Lawrence Culp Jr.,U.S.,Boston,Massachusetts,Public
57,Lockheed Martin,LMT,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,3,yes,yes,no,122000,109394.2,"$67,571,000 ",2%,6920,20.7,52456,James D. Taiclet Jr.,U.S.,Bethesda,Maryland,Public
58,American Express,AXP,Financials,Diversified Financials,yes,no,no,no,19,yes,yes,yes,74600,163945.6,"$67,364,000 ",21%,8374,11.4,261108,Stephen J. Squeri,U.S.,New York,New York,Public
59,Caterpillar,CAT,Industrials,Construction and Farm Machinery,yes,no,no,yes,9,yes,yes,no,113200,182986.8,"$67,060,000 ",13%,10335,54.1,87476,D. James Umpleby III,U.S.,Irving,Texas,Public
60,MetLife,MET,Financials,"Insurance: Life, Health (stock)",yes,no,no,no,-6,yes,yes,yes,45000,53583,"$66,905,000 ",-4%,1578,-37.8,687584,Michel A. Khalaf,U.S.,New York,New York,Public
61,HCA Healthcare,HCA,Health Care,Health Care: Medical Facilities,yes,no,no,yes,5,yes,yes,no,265000,88213.8,"$64,968,000 ",8%,5242,-7.1,56211,Samuel N. Hazen,U.S.,Nashville,Tennessee,Public
62,Progressive,PGR,Financials,Insurance: Property and Casualty (Stock),yes,no,yes,yes,26,yes,yes,yes,61432,121134.1,"$62,108,000 ",25%,3902.4,440.9,88690.8,Susan Patricia  Griffith,U.S.,Mayfield Village,Ohio,Public
63,IBM,IBM,Technology,Information Technology Services,yes,no,no,no,2,yes,yes,no,296600,175061.6,"$61,860,000 ",2%,7502,357.7,135241,Arvind Krishna,U.S.,Armonk,New York,Public
64,Deere,DE,Industrials,Construction and Farm Machinery,yes,no,no,yes,17,yes,yes,no,82956,114332.9,"$61,251,000 ",17%,10166,42.6,104087,John C. May,U.S.,Moline,Illinois,Public
65,Nvidia,NVDA,Technology,Semiconductors and Other Electronic Components,yes,yes,no,yes,87,no,yes,yes,29600,2258900,"$60,922,000 ",126%,29760,581.3,65728,Jensen Huang,U.S.,Santa Clara,California,Public
66,StoneX Group,SNEX,Financials,Diversified Financials,yes,no,no,yes,-7,yes,no,no,4137,2216.7,"$60,856,000 ",-8%,238.5,15.2,21938.7,Sean M. O'Connor,U.S.,New York,New York,Public
67,Merck,MRK,Health Care,Pharmaceuticals,yes,no,no,yes,2,yes,yes,yes,71000,334182.4,"$60,115,000 ",1%,365,-97.5,106675,Robert M. Davis,U.S.,Rahway,New Jersey,Public
68,ConocoPhillips,COP,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-19,yes,no,no,9900,149733.3,"$58,574,000 ",-29%,10957,-41.3,95924,Ryan M. Lance,U.S.,Houston,Texas,Public
69,Pfizer,PFE,Health Care,Pharmaceuticals,yes,no,no,yes,-31,yes,yes,no,88000,157135.5,"$58,496,000 ",-42%,2119,-93.2,226501,Albert Bourla,U.S.,New York,New York,Public
70,Delta Air Lines,DAL,Transportation,Airlines,yes,no,no,yes,15,yes,yes,yes,103000,30795.9,"$58,048,000 ",15%,4609,249.7,73644,Edward H. Bastian,U.S.,Atlanta,Georgia,Public
71,TD Synnex,SNX,Wholesalers,Wholesalers: Electronics and Office Equipment,yes,no,no,no,-7,yes,yes,no,28000,9856.6,"$57,555,000 ",-8%,626.9,-3.7,29412.8,Patrick  Zammit/Richard T. Hume,U.S.,Fremont,California,Public
72,Publix Super Markets,PFE,Food & Drug Stores,Food & Drug Stores,yes,no,no,yes,6,yes,yes,yes,253000,,"$57,534,000 ",5%,4349,49,34384,Kevin S. Murphy,U.S.,Lakeland,Florida,Private
73,Allstate,ALL,Financials,Insurance: Property and Casualty (Stock),no,no,no,no,11,yes,yes,no,53200,45513.3,"$57,094,000 ",11%,-188,,103362,Thomas J. Wilson,U.S.,Northbrook,Illinois,Public
74,Cisco Systems,CSCO,Technology,Network and Other Communications Equipment,yes,no,no,yes,8,yes,no,yes,84900,202094.9,"$56,998,000 ",11%,12613,6.8,101852,Charles H. Robbins,U.S.,San Jose,California,Public
75,Nationwide,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,no,8,yes,no,yes,24118,,"$54,609,000 ",6%,-45.2,-104.6,290615,Kirt A. Walker,U.S.,Columbus,Ohio,Private
76,Charter Communications,CHTR,Telecommunications,Telecommunications,yes,no,no,no,3,yes,no,no,101100,51316,"$54,607,000 ",1%,4557,-9.9,147193,Christopher L. Winfrey,U.S.,Stamford,Connecticut,Public
77,AbbVie,ABBV,Health Care,Pharmaceuticals,yes,no,no,no,-4,yes,yes,yes,50000,322434.8,"$54,318,000 ",-6%,4863,-58.9,134711,Robert A. Michael,U.S.,North Chicago,Illinois,Public
78,New York Life Insurance,,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,yes,-7,yes,yes,no,15384,,"$54,317,000 ",-7%,804.6,,408904.9,Craig DeSanto,U.S.,New York,New York,Private
79,Intel,INTC,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,-17,yes,no,no,124800,188026,"$54,228,000 ",-14%,1689,-78.9,191572,Patrick P. Gelsinger,U.S.,Santa Clara,California,Public
80,TJX,TJX,Retailing,Specialty Retailers: Apparel,yes,no,no,yes,7,yes,yes,no,349000,115586,"$54,217,000 ",9%,4474,27.9,29747,Ernie L. Herrman,U.S.,Framingham,Massachusetts,Public
81,Prudential Financial,PRU,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,-14,yes,yes,no,40366,42191.2,"$53,979,000 ",-10%,2488,,721123,Charles F. Lowrey,U.S.,Newark,New Jersey,Public
82,HP,HPQ,Technology,"Computers, Office Equipment",yes,no,no,no,-19,yes,yes,yes,58000,29569.7,"$53,718,000 ",-15%,3263,4.2,37004,Enrique J. Lores,U.S.,Palo Alto,California,Public
83,United Airlines Holdings,UAL,Transportation,Airlines,yes,no,no,yes,13,yes,yes,no,103300,15705.9,"$53,717,000 ",20%,2618,255.2,71104,J. Scott Kirby,U.S.,Chicago,Illinois,Public
84,Performance Food Group,PFGC,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,no,7,yes,no,no,34825,11612.9,"$53,354,000 ",13%,397.2,253.1,12499,George L. Holm,U.S.,Richmond,Virginia,Public
85,Tyson Foods,TSN,"Food, Beverages & Tobacco",Food Production,no,no,no,no,-5,yes,no,no,139000,20928.3,"$52,881,000 ",-1%,-648,-120,36251,Donnie D. King,U.S.,Springdale,Arkansas,Public
86,American Airlines Group,AAL,Transportation,Airlines,yes,no,no,yes,3,yes,no,no,132100,10050.5,"$52,788,000 ",8%,822,547.2,63058,Robert D. Isom,U.S.,Fort Worth,Texas,Public
87,Liberty Mutual Insurance Group,,Financials,Insurance: Property and Casualty (Stock),yes,no,no,no,-1,yes,no,no,45000,,"$52,612,000 ",5%,213,-48.6,165208,Timothy M. Sweeney,U.S.,Boston,Massachusetts,Private
88,Nike,NKE,Apparel,Apparel,yes,no,no,yes,5,yes,yes,no,83700,142391.2,"$51,217,000 ",10%,5070,-16.1,37531,John J. Donahoe II,U.S.,Beaverton,Oregon,Public
89,Oracle,ORCL,Technology,Computer Software,yes,no,yes,yes,12,yes,yes,no,164000,345240.8,"$49,954,000 ",18%,8503,26.6,134384,Safra A. Catz,U.S.,Austin,Texas,Public
90,Enterprise Products Partners,EPD,Energy,Pipelines,yes,no,no,yes,-18,yes,no,no,7500,63269.4,"$49,715,000 ",-15%,5532,0.8,70982,A. James Teague/W. Randall Fowler,U.S.,Houston,Texas,Public
91,Capital One Financial,COF,Financials,Commercial Banks,yes,yes,no,no,15,yes,yes,yes,51987,56891.2,"$49,484,000 ",29%,4887,-33.6,478464,Richard D. Fairbank,U.S.,McLean,Virginia,Public
92,Plains GP Holdings,PAGP,Energy,Pipelines,yes,no,no,yes,-18,yes,no,no,4200,3597.5,"$48,712,000 ",-15%,198,17.9,28597,Wilfred C.W. Chiang,U.S.,Houston,Texas,Public
93,World Kinect,WKC,Energy,Energy,yes,no,no,yes,-23,yes,no,no,5289,1583,"$47,710,000 ",-19%,52.9,-53.6,7375.3,Michael J. Kasbar,U.S.,Miami,Florida,Public
94,AIG,AIG,Financials,Insurance: Property and Casualty (Stock),yes,no,no,no,-18,yes,no,no,25200,53230.1,"$46,802,000 ",-17%,3643,-64.5,539306,Peter S. Zaffino,U.S.,New York,New York,Public
95,Coca-Cola,KO,"Food, Beverages & Tobacco",Beverages,yes,no,no,no,5,yes,yes,no,79100,263758.6,"$45,754,000 ",6%,10714,12.3,97703,James R. Quincey,U.S.,Atlanta,Georgia,Public
96,TIAA,,Financials,"Insurance: Life, Health (Mutual)",no,no,yes,no,7,yes,yes,no,16023,,"$45,734,000 ",12%,-1408.9,-385.4,629369.9,Thasunda Brown Duckett,U.S.,New York,New York,Private
97,CHS,,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,-7,yes,no,no,10609,,"$45,590,000 ",-5%,1900.4,13.2,18957.4,Jay D. Debertin,U.S.,Inver Grove Heights,Minnesota,Private
98,Bristol-Myers Squibb,BMY,Health Care,Pharmaceuticals,yes,no,no,no,-3,yes,yes,no,34100,109911.1,"$45,006,000 ",-3%,8025,26.8,95159,Christopher S. Boerner,U.S.,Princeton,New Jersey,Public
99,Dow,DOW,Chemicals,Chemicals,yes,no,no,no,-24,yes,yes,yes,35900,40740.3,"$44,622,000 ",-22%,589,-87.1,57967,James R. Fitterling,U.S.,Midland,Michigan,Public
100,Best Buy,BBY,Retailing,Specialty Retailers: Other,yes,no,yes,yes,-6,yes,yes,no,85000,17667.7,"$43,452,000 ",-6%,1241,-12.5,14967,Corie S. Barry,U.S.,Richfield,Minnesota,Public
101,Thermo Fisher Scientific,TMO,Technology,"Scientific,Photographic and  Control Equipment",yes,no,no,no,-4,yes,yes,no,122000,221622.5,"$42,857,000 ",-5%,5995,-13.7,98726,Marc N. Casper,U.S.,Waltham,Massachusetts,Public
102,Massachusetts Mutual Life Insurance,,Financials,"Insurance: Life, Health (Mutual)",no,no,no,yes,2,yes,yes,no,11323,,"$42,641,000 ",6%,-771.6,-152,397895,Roger W. Crandall,U.S.,Springfield,Massachusetts,Private
103,USAA,,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,11,yes,yes,no,37376,,"$42,493,000 ",17%,1213.5,,211637.6,Wayne Peacock,U.S.,San Antonio,Texas,Private
104,General Dynamics,GD,Aerospace & Defense,Aerospace & Defense,yes,no,yes,yes,1,yes,yes,no,111600,77506.3,"$42,272,000 ",7%,3315,-2.2,54810,Phebe N. Novakovic,U.S.,Reston,Virginia,Public
105,Travelers,TRV,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,7,yes,yes,no,33133,52731,"$41,364,000 ",12%,2991,5.2,125978,Alan D. Schnitzer,U.S.,New York,New York,Public
106,Warner Bros. Discovery,WBD,Media,Entertainment,no,no,no,no,12,yes,no,no,35300,21298.5,"$41,321,000 ",22%,-3126,,122757,David M. Zaslav,U.S.,New York,New York,Public
107,U.S. Bancorp,USB,Financials,Commercial Banks,yes,no,no,no,42,no,yes,no,75465,69656.5,"$40,624,000 ",48%,5429,-6.8,663491,Andrew J. Cecere,U.S.,Minneapolis,Minnesota,Public
108,Abbott Laboratories,ABT,Health Care,Medical Products and Equipment,yes,no,no,no,-9,yes,yes,no,114000,197221,"$40,109,000 ",-8%,5723,-17.5,73214,Robert B. Ford,U.S.,Abbott Park,Illinois,Public
109,Northrop Grumman,NOC,Aerospace & Defense,Aerospace & Defense,yes,no,yes,yes,4,yes,yes,no,101000,70908.8,"$39,290,000 ",7%,2056,-58,46544,Kathy J. Warden,U.S.,Falls Church,Virginia,Public
110,Northwestern Mutual,,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,no,1,yes,yes,no,8239,,"$38,788,000 ",5%,711.4,-22,358828.6,John E. Schlifske,U.S.,Milwaukee,Wisconsin,Private
111,Dollar General,DG,Retailing,Specialty Retailers: Other,yes,no,no,yes,-3,yes,no,no,185800,34281.9,"$38,691,000 ",2%,1661.3,-31.2,30795.6,Todd J. Vasos,U.S.,Goodlettsville,Tennessee,Public
112,PBF Energy,PBF,Energy,Petroleum Refining,yes,no,no,yes,-20,yes,no,no,3776,6860.3,"$38,324,000 ",-18%,2140.5,-25.6,14387.8,Matthew C. Lucey,U.S.,Parsippany,New Jersey,Public
113,Uber Technologies,UBER,Technology,Internet Services and Retailing,yes,no,no,no,14,yes,yes,no,30400,160258.1,"$37,281,000 ",17%,1887,,38699,Dara Khosrowshahi,U.S.,San Francisco,California,Public
114,Honeywell International,HON,Industrials,Industrial Machinery,yes,no,no,no,1,yes,yes,no,95000,133860.3,"$36,662,000 ",3%,5658,13.9,61525,Vimal Kapur,U.S.,Charlotte,North Carolina,Public
115,Mondelez International,MDLZ,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,no,16,yes,yes,no,91000,94253.4,"$36,016,000 ",14%,4959,82.5,71391,Dirk Van de Put,U.S.,Chicago,Illinois,Public
116,Starbucks,SBUX,"Hotels, Restaurants & Leisure",Food Services,yes,no,no,no,9,yes,yes,no,381000,103471.8,"$35,976 ",12%,4124.5,25.7,29445.5,Rachel Ruggeri,U.S.,Seattle,Washington,Public
117,Qualcomm,QCOM,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,-19,yes,yes,no,50000,188938.8,"$35,820,000 ",-19%,7232,-44.1,51040,Cristiano R. Amon,U.S.,San Diego,California,Public
118,Broadcom,AVGO,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,5,yes,no,no,20000,614223.1,"$35,819,000 ",8%,14082,22.5,72861,Hock E. Tan,U.S.,Palo Alto,California,Public
119,US Foods Holding,USFD,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,yes,-2,yes,no,no,30000,13217.4,"$35,597,000 ",5%,506,90.9,13187,David E. Flitman,U.S.,Rosemont,Illinois,Public
120,D.R. Horton,DHI,Engineering & Construction,Homebuilders,yes,no,no,yes,0,yes,yes,no,13450,54600.5,"$35,460 ",6%,4745.7,-19,32582.4,Paul J. Romanowski,U.S.,Arlington,Texas,Public
121,Philip Morris International,PM,"Food, Beverages & Tobacco",Tobacco,yes,no,no,yes,7,yes,no,no,82700,142428,"$35,174,000 ",11%,7813,-13.6,65304,Jacek Olczak,U.S.,Stamford,Connecticut,Public
122,Paccar,PCAR,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,18,no,no,no,32400,64919.7,"$35,127 ",22%,4600.8,52.8,40823.4,R. Preston Feight,U.S.,Bellevue,Washington,Public
123,Salesforce,CRM,Technology,Computer Software,yes,yes,no,no,10,yes,yes,yes,72682,292144.6,"$34,857,000 ",11%,4136,1888.5,99823,Marc R. Benioff,U.S.,San Francisco,California,Public
124,Nucor,NUE,Materials,Metals,yes,no,no,yes,-22,yes,yes,no,32000,47492,"$34,714 ",-16%,4524.8,-40.5,35340.5,Leon J. Topalian,U.S.,Charlotte,North Carolina,Public
125,Jabil,JBL,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,-4,yes,yes,no,236000,17084.7,"$34,702,000 ",4%,818,-17.9,19424,Michael K. Dastoor,U.S.,St. Petersburg,Florida,Public
126,Lennar,LEN,Engineering & Construction,Homebuilders,yes,no,no,yes,-7,yes,yes,no,12284,47374.8,"$34,233 ",2%,3938.5,-14.6,39234.3,Jonathan M. Jaffe/Stuart A. Miller,U.S.,Miami,Florida,Public
